iter	Logloss
0	0.6364820673
1	0.588153882
2	0.5571497371
3	0.532399124
4	0.4989483437
5	0.4776376446
6	0.4596849934
7	0.4473237456
8	0.43060097
9	0.4261210152
10	0.4170390783
11	0.4110654338
12	0.4038227381
13	0.3975991238
14	0.3942923814
15	0.3903635861
16	0.3868622941
17	0.3847683682
18	0.3825072385
19	0.3760135093
20	0.374095531
21	0.3708861276
22	0.3691470543
23	0.3684434355
24	0.3668397196
25	0.3651700823
26	0.3633512861
27	0.3584475142
28	0.3577996586
29	0.357078938
30	0.3562760728
31	0.3553316352
32	0.3545850047
33	0.3533688663
34	0.3525594861
35	0.3519396407
36	0.3513019862
37	0.350785609
38	0.3498504081
39	0.3492473217
40	0.3484603367
41	0.3474563856
42	0.3465424441
43	0.3457722396
44	0.3448710067
45	0.3433209537
46	0.3427966686
47	0.3408501443
48	0.339702349
49	0.3380709016
50	0.3370320395
51	0.3362882807
52	0.3357005602
53	0.3347079245
54	0.3336737772
55	0.332856339
56	0.3322369436
57	0.3313569915
58	0.3301613626
59	0.3294335269
60	0.3287315369
61	0.3279115055
62	0.3272437406
63	0.3262655708
64	0.3247963123
65	0.3236564679
66	0.3225765871
67	0.3217018427
68	0.3206555227
69	0.3196914544
70	0.3185624969
71	0.3171845983
72	0.3160012063
73	0.3149829822
74	0.313724625
75	0.3124928421
76	0.3112905695
77	0.3100290191
78	0.3088772806
79	0.3076577562
80	0.3065843475
81	0.3055275906
82	0.3043719302
83	0.3032046543
84	0.3022963706
85	0.3012292412
86	0.3001198286
87	0.2990682795
88	0.2980323106
89	0.2970141722
90	0.2958826644
91	0.2948574109
92	0.2938583888
93	0.2928410005
94	0.2919211656
95	0.2909889221
96	0.290028047
97	0.2891180703
98	0.288087502
99	0.2872028565
100	0.2863652733
101	0.2848747339
102	0.2839813661
103	0.2830689891
104	0.2822153541
105	0.2813795068
106	0.2805816565
107	0.279799172
108	0.2742436013
109	0.2734686176
110	0.2726898193
111	0.2719205792
112	0.2711617545
113	0.2703816275
114	0.2696146161
115	0.2688826014
116	0.2681297988
117	0.2674127429
118	0.266685743
119	0.2659976831
120	0.2652903782
121	0.2646109977
122	0.2639080433
123	0.2629240443
124	0.2622622372
125	0.2580361527
126	0.2573464211
127	0.256686007
128	0.2553873384
129	0.2547389255
130	0.2540727894
131	0.2534152899
132	0.2527914797
133	0.2492601202
134	0.2486325596
135	0.2480229796
136	0.2473916686
137	0.2467965544
138	0.2461624574
139	0.2422224323
140	0.241613881
141	0.2409911424
142	0.2382559616
143	0.2375343408
144	0.2365188813
145	0.2359163949
146	0.2353028715
147	0.23467964
148	0.234078268
149	0.233489583
150	0.2329097705
151	0.2323365587
152	0.2317652113
153	0.2312212526
154	0.2306617994
155	0.2301077253
156	0.2295528155
157	0.2290361597
158	0.2285108888
159	0.2280079274
160	0.2274717267
161	0.2240800536
162	0.2235535182
163	0.2230393699
164	0.2225139489
165	0.221838126
166	0.2213361504
167	0.2183989836
168	0.2174932073
169	0.2169642073
170	0.2164453442
171	0.2159321174
172	0.2154422503
173	0.2149418392
174	0.2144599657
175	0.2139811569
176	0.2134939258
177	0.2130220606
178	0.2125476666
179	0.2120687935
180	0.2115969283
181	0.2111403862
182	0.2089967192
183	0.2085419558
184	0.2080867639
185	0.2076348723
186	0.2071680648
187	0.2067096153
188	0.2061290955
189	0.2056744608
190	0.2052367135
191	0.2048021381
192	0.2037156137
193	0.2032857745
194	0.202850899
195	0.2022761656
196	0.2018526484
197	0.2014273311
198	0.2009909555
199	0.197871026
200	0.1960616808
201	0.1956215333
202	0.1952055599
203	0.1947816999
204	0.1943489675
205	0.1939192568
206	0.1935073338
207	0.1930837953
208	0.1926780444
209	0.192262028
210	0.1918576487
211	0.1914632776
212	0.1910718425
213	0.1906703992
214	0.1901589083
215	0.189759158
216	0.1893791885
217	0.1867868659
218	0.1863961381
219	0.1859277875
220	0.1855393742
221	0.1835601892
222	0.1831638679
223	0.1827797622
224	0.1823997712
225	0.1816638561
226	0.1812963593
227	0.180902031
228	0.1805152464
229	0.1801423491
230	0.1797566039
231	0.179390768
232	0.1790167776
233	0.1786437088
234	0.1782770693
235	0.1779319677
236	0.1775715646
237	0.1772127473
238	0.1749488531
239	0.1746037837
240	0.1742632362
241	0.1739258177
242	0.1735685756
243	0.1732233883
244	0.1728699395
245	0.1711661735
246	0.1708082992
247	0.1703369912
248	0.1699957901
249	0.1696671475
250	0.1693245963
251	0.1689943035
252	0.1686761192
253	0.1683486553
254	0.168014805
255	0.1661453997
256	0.1657705843
257	0.1654445562
258	0.1651194712
259	0.1647915144
260	0.1644760839
261	0.16415551
262	0.1638471411
263	0.1635395221
264	0.1632326855
265	0.161758155
266	0.1614430031
267	0.1611243259
268	0.1608272295
269	0.1602042873
270	0.1599076946
271	0.1595984898
272	0.1592905923
273	0.1589044399
274	0.1571286555
275	0.1568246691
276	0.156526662
277	0.1562638765
278	0.1559811496
279	0.1556829495
280	0.155395915
281	0.1550995366
282	0.1548048727
283	0.1545116339
284	0.1542086012
285	0.1539186199
286	0.1536411757
287	0.1533541947
288	0.1530803938
289	0.1515613727
290	0.1512938296
291	0.1510310441
292	0.1507613793
293	0.1504846744
294	0.15021816
295	0.149957839
296	0.149685849
297	0.1494149947
298	0.1488607385
299	0.1468706881
