iter	Passed	Remaining
0	27	8344
1	37	5551
2	46	4627
3	56	4174
4	65	3889
5	74	3672
6	84	3541
7	93	3420
8	102	3323
9	111	3244
10	121	3204
11	131	3161
12	141	3134
13	152	3106
14	162	3082
15	172	3053
16	181	3013
17	191	2998
18	201	2980
19	209	2938
20	218	2897
21	227	2873
22	236	2843
23	244	2807
24	253	2789
25	263	2773
26	273	2761
27	283	2752
28	291	2728
29	301	2714
30	310	2694
31	319	2672
32	328	2654
33	365	2861
34	380	2882
35	396	2906
36	408	2901
37	419	2895
38	432	2896
39	441	2868
40	450	2846
41	475	2923
42	495	2961
43	518	3015
44	532	3019
45	552	3051
46	567	3055
47	579	3043
48	593	3040
49	604	3021
50	614	3000
51	625	2982
52	636	2968
53	647	2951
54	671	2992
55	682	2975
56	695	2963
57	707	2950
58	718	2935
59	730	2920
60	742	2907
61	754	2894
62	765	2878
63	777	2865
64	788	2850
65	799	2832
66	812	2827
67	823	2808
68	832	2788
69	843	2770
70	853	2751
71	863	2735
72	873	2717
73	886	2706
74	896	2690
75	906	2671
76	917	2658
77	928	2642
78	938	2625
79	948	2607
80	957	2588
81	966	2569
82	975	2551
83	986	2536
84	996	2519
85	1006	2503
86	1016	2487
87	1028	2476
88	1040	2466
89	1049	2449
90	1059	2432
91	1068	2415
92	1078	2400
93	1088	2385
94	1097	2367
95	1105	2348
96	1114	2331
97	1121	2312
98	1133	2301
99	1156	2313
100	1173	2312
101	1186	2303
102	1196	2287
103	1205	2271
104	1214	2255
105	1223	2239
106	1233	2225
107	1244	2211
108	1255	2199
109	1264	2184
110	1274	2169
111	1283	2155
112	1292	2139
113	1304	2127
114	1313	2113
115	1324	2100
116	1333	2085
117	1343	2072
118	1354	2060
119	1366	2049
120	1376	2036
121	1387	2024
122	1396	2008
123	1407	1997
124	1417	1984
125	1432	1977
126	1443	1966
127	1456	1957
128	1469	1948
129	1480	1935
130	1491	1923
131	1505	1915
132	1530	1921
133	1552	1923
134	1573	1922
135	1588	1916
136	1601	1905
137	1614	1895
138	1625	1882
139	1636	1870
140	1649	1859
141	1659	1846
142	1672	1835
143	1683	1823
144	1693	1810
145	1703	1796
146	1710	1780
147	1719	1766
148	1729	1752
149	1737	1737
150	1745	1722
151	1755	1709
152	1764	1695
153	1774	1682
154	1785	1670
155	1797	1658
156	1808	1647
157	1819	1635
158	1838	1630
159	1860	1627
160	1879	1623
161	1899	1618
162	1913	1608
163	1924	1595
164	1933	1582
165	1943	1568
166	1954	1556
167	1963	1542
168	1973	1529
169	1986	1519
170	1995	1505
171	2003	1490
172	2010	1475
173	2021	1464
174	2033	1452
175	2045	1440
176	2052	1426
177	2062	1413
178	2070	1399
179	2078	1385
180	2086	1372
181	2096	1359
182	2103	1345
183	2111	1331
184	2122	1319
185	2132	1306
186	2142	1294
187	2151	1281
188	2160	1269
189	2170	1256
190	2180	1244
191	2189	1231
192	2198	1218
193	2206	1205
194	2219	1194
195	2227	1181
196	2236	1169
197	2245	1156
198	2254	1144
199	2264	1132
200	2273	1120
201	2282	1107
202	2291	1095
203	2300	1082
204	2309	1070
205	2317	1057
206	2326	1045
207	2336	1033
208	2345	1021
209	2354	1008
210	2362	996
211	2371	984
212	2381	972
213	2389	960
214	2396	947
215	2405	935
216	2413	923
217	2422	911
218	2431	899
219	2440	887
220	2449	875
221	2458	863
222	2468	852
223	2477	840
224	2486	828
225	2495	817
226	2505	805
227	2513	793
228	2523	782
229	2531	770
230	2541	759
231	2552	748
232	2561	736
233	2575	726
234	2588	715
235	2598	704
236	2608	693
237	2619	682
238	2631	671
239	2640	660
240	2651	649
241	2659	637
242	2667	625
243	2676	614
244	2688	603
245	2700	592
246	2708	581
247	2718	569
248	2730	559
249	2743	548
250	2750	536
251	2762	526
252	2775	515
253	2785	504
254	2795	493
255	2808	482
256	2822	472
257	2831	460
258	2842	449
259	2856	439
260	2866	428
261	2877	417
262	2887	406
263	2899	395
264	2911	384
265	2919	373
266	2929	362
267	2941	351
268	2951	340
269	2960	328
270	2972	318
271	2984	307
272	2995	296
273	3006	285
274	3019	274
275	3029	263
276	3039	252
277	3049	241
278	3070	231
279	3083	220
280	3094	209
281	3107	198
282	3118	187
283	3128	176
284	3140	165
285	3153	154
286	3165	143
287	3175	132
288	3185	121
289	3195	110
290	3205	99
291	3213	88
292	3223	77
293	3232	65
294	3240	54
295	3249	43
296	3258	32
297	3267	21
298	3277	10
299	3285	0
