hours_studied,attendance,previous_score,assignment_score,study_mode,passed
6.8,46.3,47.9,53.4,hybrid,0
5.9,76.3,32.1,45.6,online,0
5.5,46.4,42.9,79.0,hybrid,0
3.5,91.1,79.3,49.6,offline,1
4.1,53.2,92.2,60.2,online,0
4.1,59.0,32.8,67.6,online,0
9.8,65.1,65.9,89.8,hybrid,1
2.7,48.7,73.0,86.4,online,0
8.7,90.9,54.7,67.2,offline,1
7.0,82.2,74.4,44.3,hybrid,1
2.5,83.6,40.6,62.8,hybrid,0
3.9,85.7,33.6,89.3,offline,0
4.6,48.5,89.4,74.0,hybrid,1
4.6,93.5,59.8,55.9,online,1
7.7,73.6,78.6,65.7,hybrid,1
10.0,72.0,35.9,42.8,online,1
2.4,53.5,74.2,75.8,offline,0
5.8,96.5,86.0,40.7,hybrid,1
2.0,91.9,78.8,86.1,offline,1
5.1,95.6,86.9,55.8,hybrid,1
7.9,71.9,36.9,77.5,hybrid,0
4.4,53.6,92.0,95.3,online,1
6.4,70.9,37.3,61.8,offline,0
6.1,49.2,77.6,89.0,hybrid,1
7.9,51.8,60.9,73.0,offline,0
9.7,94.2,79.1,81.4,hybrid,1
3.8,97.7,72.2,66.3,hybrid,1
1.6,46.1,66.0,75.3,online,0
1.6,78.4,44.9,94.3,offline,0
7.0,56.4,38.6,96.1,hybrid,1
6.2,57.9,60.7,64.4,online,1
4.8,69.8,77.4,80.4,hybrid,1
1.9,66.3,52.1,91.7,online,0
2.3,54.7,60.1,92.5,online,0
5.0,90.7,65.8,43.0,hybrid,1
9.3,90.0,40.8,69.1,online,0
8.8,92.8,40.7,40.1,offline,1
5.1,67.4,92.2,99.7,hybrid,1
7.0,70.8,42.3,53.1,online,0
7.7,48.0,68.0,70.2,hybrid,1
2.4,95.9,35.2,51.1,hybrid,1
4.6,94.9,67.0,74.7,online,1
6.6,67.2,67.9,71.4,offline,1
3.1,66.0,73.7,58.0,offline,1
9.4,94.6,30.6,77.3,hybrid,1
2.9,59.1,90.7,92.9,online,1
4.3,53.4,84.2,82.2,hybrid,1
5.8,80.4,66.0,95.9,online,1
9.5,52.1,37.5,46.4,hybrid,0
2.9,63.2,74.7,91.2,hybrid,1
5.4,93.0,85.0,45.5,offline,1
4.0,51.9,93.7,49.7,offline,0
6.0,67.7,30.6,44.5,hybrid,0
8.5,75.9,39.6,47.6,offline,0
4.3,94.5,93.2,42.4,offline,1
1.9,86.3,87.5,64.4,hybrid,1
7.7,94.1,45.4,49.8,online,1
7.6,62.6,90.5,88.1,hybrid,1
8.3,59.1,81.2,46.5,online,1
8.3,69.4,49.8,87.7,online,1
3.0,80.0,55.9,56.7,online,0
6.8,66.2,93.8,72.2,online,1
2.0,96.4,41.6,97.8,offline,1
4.1,86.7,58.4,99.1,online,1
4.5,75.6,46.6,82.5,online,0
