marketing_spend_k,employees,product_age_months,monthly_active_users,industry,funding_million,monthly_revenue
14.97,28,81,160747,edtech,11.66,359723
6.56,48,12,185467,fintech,13.3,312080
106.97,124,17,54243,ecommerce,9.6,181330
234.83,159,5,156509,ecommerce,10.76,286962
154.95,25,81,216857,healthtech,5.22,323471
33.79,138,13,162446,healthtech,12.94,316948
246.76,132,29,121891,ecommerce,4.15,257911
172.88,124,64,46422,ecommerce,10.05,355549
15.56,168,47,74927,ecommerce,6.52,222819
190.81,14,14,194295,saas,13.87,358870
48.09,10,63,135178,saas,1.06,199149
147.04,110,26,196044,healthtech,3.45,296767
31.98,61,13,62359,edtech,13.05,193337
120.39,127,7,233636,edtech,2.17,251614
232.33,119,23,101736,healthtech,2.05,180954
244.01,54,43,33547,saas,10.38,171072
19.61,37,15,223455,edtech,6.88,246830
222.17,157,21,207174,fintech,13.58,426067
146.64,144,30,22868,edtech,12.85,110603
149.94,121,36,4002,edtech,11.04,238103
65.43,86,56,152103,ecommerce,13.38,309303
145.56,4,54,11793,saas,14.87,234219
184.7,132,5,111794,fintech,5.91,269233
29.01,129,31,21981,fintech,11.3,209194
174.82,107,28,34989,healthtech,4.44,169046
122.55,81,21,184567,edtech,12.87,277774
188.09,9,59,121772,ecommerce,13.11,213000
95.75,121,82,557,saas,5.77,296281
174.23,138,5,77949,edtech,11.29,221032
145.93,56,11,162848,healthtech,11.04,197242
18.43,175,47,232978,saas,1.66,273222
94.56,47,83,146683,saas,8.41,355003
194.53,38,43,62756,fintech,1.7,69895
147.13,56,29,84207,healthtech,13.47,274220
128.37,111,36,14476,saas,5.59,150765
208.24,123,69,178014,fintech,13.49,425480
115.73,97,9,49575,edtech,1.31,97820
239.77,22,14,43392,healthtech,1.68,119296
41.25,41,27,136695,saas,4.4,257021
37.35,91,54,116555,saas,4.37,236879
20.42,62,67,169196,healthtech,6.18,242373
84.95,154,68,220901,fintech,6.68,436448
79.5,36,40,45219,healthtech,3.4,125498
212.15,40,46,74749,edtech,14.34,288262
156.56,44,69,74975,ecommerce,14.6,335319
168.26,42,21,62565,saas,0.62,69540
82.57,35,57,68464,healthtech,2.77,163883
82.65,91,19,97957,edtech,8.1,206804
44.84,80,16,241486,saas,6.07,250191
117.22,84,20,1325,fintech,14.63,259836
86.16,78,61,235075,healthtech,14.54,391415
168.39,147,57,88984,saas,10.97,184058
225.54,38,71,30838,healthtech,0.37,130893
92.56,86,8,159623,ecommerce,8.75,218904
59.43,74,26,6110,saas,8.08,125378
26.41,134,51,51173,edtech,4.77,238233
153.24,17,47,104417,ecommerce,10.74,199680
7.99,91,45,80962,edtech,13.11,295313
26.46,116,54,210881,edtech,4.33,323221
