size_sqft,bedrooms,bathrooms,house_age,area_type,condition,garage,distance_to_center_km,price
3089,2,4,37,suburban,excellent,0,3.9,675986
1640,3,3,54,rural,poor,0,29.9,249563
637,1,2,21,suburban,good,1,33.5,175750
1976,3,2,14,suburban,excellent,1,9.9,553333
2029,6,4,53,rural,average,0,5.1,458421
1102,1,4,75,suburban,excellent,0,21.6,206909
1918,5,1,16,suburban,excellent,0,31.1,439737
3132,3,1,67,rural,average,1,18.4,477032
3269,6,1,55,rural,average,1,12.4,565995
2736,5,1,1,rural,average,1,29.9,480720
1127,1,4,41,urban,good,1,2.2,385840
2101,2,1,58,suburban,excellent,0,30.1,408166
2281,3,1,63,rural,poor,0,14.4,350902
822,5,3,65,rural,average,1,33.3,190984
1938,1,2,58,suburban,excellent,1,25.2,412231
1358,1,3,45,rural,good,1,24.7,297868
637,2,4,17,rural,excellent,0,9.3,301941
2059,2,4,24,rural,good,0,26.6,429212
640,6,1,57,suburban,average,1,0.6,250154
2222,5,4,65,urban,average,0,4.1,495323
3143,5,3,64,suburban,excellent,0,9.9,729817
2304,2,2,52,rural,good,1,25.1,378881
2717,6,2,25,urban,good,1,32.3,626672
1178,5,3,14,suburban,excellent,1,23.8,449648
2636,3,4,1,rural,poor,0,13.6,522084
1543,2,3,32,urban,poor,1,7.5,371378
2666,1,3,57,urban,average,1,8.7,519996
1628,6,1,48,suburban,excellent,1,33.8,350224
670,1,3,25,rural,excellent,0,31.9,186245
2860,5,2,24,suburban,excellent,0,34.4,554248
755,2,2,65,urban,excellent,0,15.3,245853
2842,3,1,42,suburban,average,0,5.8,503595
1771,5,1,80,rural,good,1,27.8,299048
3348,3,2,23,rural,poor,0,14.8,540845
2649,4,1,44,urban,average,1,11.9,508992
2982,5,4,71,rural,poor,0,23.6,550165
2275,2,2,5,rural,good,1,32.1,451851
2662,6,3,3,rural,good,1,17.3,609775
1664,6,2,41,rural,poor,0,6.3,383232
480,6,1,26,rural,average,1,29.3,156722
1292,5,4,9,rural,average,0,16.3,363534
672,2,3,71,urban,average,1,14.6,217060
2297,6,4,55,suburban,poor,1,23.7,438863
2982,1,1,9,suburban,poor,1,27.6,454815
1684,5,1,36,suburban,excellent,1,28.9,425034
1350,2,4,69,suburban,average,1,23.9,280005
3437,6,3,1,rural,average,0,1.9,698956
2692,1,3,26,rural,good,0,14.7,485349
3095,5,2,20,urban,average,1,7.2,689515
672,5,4,70,urban,good,0,9.1,359414
1258,6,4,42,suburban,average,0,4.0,363779
1751,4,4,42,rural,good,0,20.0,366879
1942,3,4,21,urban,good,0,27.6,470972
1583,3,2,42,suburban,excellent,1,12.9,380112
1701,4,1,22,rural,poor,1,30.1,298815
1528,6,1,9,urban,poor,1,27.0,397219
1321,1,3,69,rural,excellent,0,13.1,292172
3453,3,2,59,rural,poor,1,13.1,577529
493,6,2,78,rural,average,0,15.9,171374
3150,2,4,45,urban,average,1,8.5,690493
1532,3,2,5,rural,average,1,13.9,394309
613,6,3,13,rural,good,1,20.5,275563
2785,2,4,48,suburban,poor,1,13.5,531634
1895,3,4,61,rural,poor,0,15.7,312740
1392,1,3,27,urban,average,0,13.0,333380
1393,4,3,14,suburban,excellent,1,7.8,461402
1110,6,4,2,urban,poor,0,20.3,407466
610,5,2,7,urban,good,0,18.3,348180
2110,5,1,36,urban,average,1,21.4,423050
1348,4,2,74,urban,good,0,25.5,314030
1853,4,1,29,suburban,excellent,0,4.2,486996
2515,6,4,19,rural,poor,0,16.9,567959
2968,5,1,68,rural,poor,0,17.1,466236
454,6,4,66,suburban,good,0,24.6,265965
2207,2,4,48,suburban,poor,1,5.1,425664
793,3,4,32,urban,poor,0,20.4,255188
932,5,1,48,rural,average,1,14.6,243695
2847,3,3,68,suburban,good,1,34.7,515818
2077,2,4,70,rural,excellent,0,13.3,414913
1706,5,3,50,rural,average,0,26.3,326150
2279,6,2,12,urban,excellent,1,28.1,569164
663,2,4,0,urban,average,1,32.4,244195
2233,1,1,33,urban,good,0,21.5,411218
2091,5,3,76,urban,average,1,15.6,401973
1276,6,3,24,urban,average,0,23.8,362516
1094,1,3,51,suburban,excellent,1,20.7,327821
2570,1,1,11,rural,good,1,12.5,480365
1246,4,4,73,urban,good,0,14.5,350407
886,5,1,64,suburban,good,0,28.2,262384
2804,3,4,48,rural,excellent,0,26.6,535753
2329,6,4,75,urban,excellent,0,9.4,572571
1352,6,2,40,suburban,good,0,24.7,387919
1528,2,3,11,suburban,good,0,19.6,390785
1345,5,3,23,rural,average,1,25.9,348220
1411,6,2,33,urban,average,0,29.3,370853
886,1,1,63,rural,poor,0,29.8,40000
1970,5,3,63,rural,good,1,6.8,456726
2079,2,2,6,rural,excellent,1,32.9,402215
583,5,3,50,rural,average,1,34.2,156167
3273,1,1,26,suburban,poor,1,13.0,494583
1513,2,3,30,suburban,excellent,1,13.1,405445
3320,3,3,51,suburban,excellent,0,20.2,644832
2808,6,2,12,rural,good,0,19.7,595740
3475,2,4,1,urban,excellent,1,5.1,800958
3033,5,3,62,suburban,good,0,14.2,602674
1491,4,1,57,rural,good,1,13.0,306104
2745,5,3,44,urban,excellent,0,12.6,640125
2812,5,2,36,suburban,good,1,27.2,534721
2280,1,4,78,suburban,excellent,0,30.5,385301
2177,6,4,9,urban,average,1,8.4,565477
1747,6,3,34,rural,excellent,1,31.1,460191
2854,5,4,52,urban,average,0,4.8,574457
1411,6,3,10,urban,average,1,4.1,533624
2696,1,1,50,rural,poor,0,9.6,391955
1086,1,4,39,urban,average,1,15.8,328600
1148,1,1,45,suburban,excellent,1,34.1,259024
2664,3,4,17,rural,average,1,22.3,500957
2594,6,3,44,suburban,average,0,15.7,518804
1948,4,3,19,suburban,poor,0,18.6,406864
1624,4,1,62,suburban,good,0,26.9,294314
1649,5,2,0,rural,good,0,14.7,403093
1118,6,4,48,urban,good,0,15.1,403456
1431,5,3,36,rural,good,1,7.0,420111
902,6,4,79,suburban,good,1,7.0,355141
529,2,1,68,urban,average,0,10.2,161590
